"bluestock fintech — nifty 100  |  cash flow  |  1,187 records",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,year_label,fiscal_year
id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,company_id,
37,TCS,Mar-13,11615,-6038,-5729,-152,TCS,
38,TCS,Mar-14,14751,-9452,-5673,-374,TCS,
39,TCS,Mar-15,19369,-1807,-17168,394,TCS,
40,TCS,Mar-16,19109,-5010,-9666,4433,TCS,
41,TCS,Mar-17,25223,-16895,-11026,-2698,TCS,
42,TCS,Mar-18,25067,3104,-26885,1286,TCS,
43,TCS,Mar-19,28593,1645,-27897,2341,TCS,
44,TCS,Mar-20,32369,8968,-39915,1422,TCS,
45,TCS,Mar-21,38802,-7956,-32634,-1788,TCS,
46,TCS,Mar-22,39949,-738,-33581,5630,TCS,
47,TCS,Mar-23,41965,548,-47878,-5365,TCS,
48,TCS,Mar-24,44338,6091,-48536,1893,TCS,
61,ABB,Dec 2012,101,-59,-42,1,ABB,
62,ABB,Mar 2014,155,-144,-42,-31,ABB,
63,ABB,Mar 2015,215,-187,-58,-30,ABB,
64,ABB,Mar 2016,249,-77,-80,91,ABB,
65,ABB,Mar 2017,307,-155,-90,62,ABB,
66,ABB,Mar 2018,153,-215,-102,-165,ABB,
67,ABB,Mar 2019,499,-257,-143,99,ABB,
68,ABB,Mar 2020,626,-401,-217,8,ABB,
69,ABB,Mar 2021,727,-72,-582,73,ABB,
70,ABB,Mar 2022,948,-396,-637,-86,ABB,
71,ABB,Mar 2023,893,-148,-639,107,ABB,
72,ABB,Mar 2024,1213,-416,-745,52,ABB,
73,ABB,Mar 2014,0,0,0,0,ABB,
74,ABB,Mar 2015,-35,-1864,1902,3,ABB,
75,ABB,Mar 2016,1544,-816,-722,6,ABB,
76,ABB,Mar 2017,2189,-1730,-455,4,ABB,
77,ABB,Mar 2018,2198,-3192,1589,596,ABB,
78,ABB,Mar 2019,2591,-3050,38,-421,ABB,
79,ABB,Mar 2020,5437,-5643,1250,1045,ABB,
80,ABB,Mar 2021,3784,-4009,-745,-969,ABB,
81,ABB,Mar 2022,4097,-3936,-235,-75,ABB,
82,ABB,Mar 2023,3777,-4699,923,2,ABB,
83,ABB,Mar 2024,6038,-4943,-543,551,ABB,
84,ADANIENSOL,Mar 2014,0,0,0,0,ADANIENSOL,
85,ADANIENSOL,Mar 2015,-35,-1864,1902,3,ADANIENSOL,
86,ADANIENSOL,Mar 2016,1544,-816,-722,6,ADANIENSOL,
87,ADANIENSOL,Mar 2017,2189,-1730,-455,4,ADANIENSOL,
88,ADANIENSOL,Mar 2018,2198,-3192,1589,596,ADANIENSOL,
89,ADANIENSOL,Mar 2019,2591,-3050,38,-421,ADANIENSOL,
90,ADANIENSOL,Mar 2020,5437,-5643,1250,1045,ADANIENSOL,
91,ADANIENSOL,Mar 2021,3784,-4009,-745,-969,ADANIENSOL,
92,ADANIENSOL,Mar 2022,4097,-3936,-235,-75,ADANIENSOL,
93,ADANIENSOL,Mar 2023,3777,-4699,923,2,ADANIENSOL,
94,ADANIENSOL,Mar 2024,6038,-4943,-543,551,ADANIENSOL,
95,ADANIENT,Mar 2013,7666,-14790,7199,75,ADANIENT,
96,ADANIENT,Mar 2014,8228,-8007,-1109,-888,ADANIENT,
97,ADANIENT,Mar 2015,8532,-11465,3445,512,ADANIENT,
98,ADANIENT,Mar 2016,5112,-1825,-3448,-161,ADANIENT,
99,ADANIENT,Mar 2017,774,-1460,716,30,ADANIENT,
100,ADANIENT,Mar 2018,2942,-7649,5120,413,ADANIENT,
101,ADANIENT,Mar 2019,3236,2487,-6158,-436,ADANIENT,
102,ADANIENT,Mar 2020,2454,-1082,-221,1151,ADANIENT,
103,ADANIENT,Mar 2021,4043,-8611,3109,-1459,ADANIENT,
104,ADANIENT,Mar 2022,1385,-17041,15901,246,ADANIENT,
105,ADANIENT,Mar 2023,17626,-15459,-1198,970,ADANIENT,
106,ADANIENT,Mar 2024,10312,-18767,8879,424,ADANIENT,
107,ADANIGREEN,Mar 2017,28,-1511,1559,76,ADANIGREEN,
108,ADANIGREEN,Mar 2018,649,-4428,3942,162,ADANIGREEN,
109,ADANIGREEN,Mar 2019,1625,-2666,1045,3,ADANIGREEN,
110,ADANIGREEN,Mar 2020,1965,-3743,2161,383,ADANIGREEN,
111,ADANIGREEN,Mar 2021,1601,-9137,7083,-453,ADANIGREEN,
112,ADANIGREEN,Mar 2022,3127,-18730,15986,383,ADANIGREEN,
113,ADANIGREEN,Mar 2023,7265,-3857,-2973,435,ADANIGREEN,
114,ADANIGREEN,Mar 2024,7713,-21060,13953,606,ADANIGREEN,
115,ADANIPORTS,Mar 2013,1379,-5136,4138,381,ADANIPORTS,
116,ADANIPORTS,Mar 2014,1132,-2510,772,-606,ADANIPORTS,
117,ADANIPORTS,Mar 2015,3057,-2485,-237,335,ADANIPORTS,
